joint1,joint2,joint3,joint4,joint5,joint6,joint7
-1.2435024543626412e-07,3.5486002491947695e-06,-2.706486656719108e-05,9.18944102120766e-09,-1.2433363278702467e-06,6.341343187657675e-07,-7.826235005566063e-07
-9.451038022635414e-08,6.956605255013058e-05,-2.6607046955190835e-05,9.368549204143801e-06,-1.7243534967954917e-06,5.6884211212183214e-05,3.642093202035221e-05
1.0826896491426222e-07,0.0005181932715829349,-2.3495894794788003e-05,7.29708754998784e-05,-4.99314663074238e-06,0.0004391363988919182,0.0002892408617473475
6.404379983744623e-07,0.0016955593064276963,-1.5331065004056208e-05,0.0002398872272967055,-1.3571685443300292e-05,0.0014423094642478053,0.0009527351518043184
1.64103425779495e-06,0.003909269568324222,2.0632734332010457e-08,0.0005537271291753824,-2.9701248246546104e-05,0.003328498163014991,0.0022002521305003525
3.2323157980954656e-06,0.00742980669022987,2.4434948691817934e-05,0.001052837172579406,-5.5352628911099246e-05,0.006328166840179561,0.004184219910432095
5.520394379501995e-06,0.012491931386377386,5.9539907812669425e-05,0.001770499617065478,-9.223634382617675e-05,0.010641343030384175,0.007036935830586108
8.595868655573953e-06,0.019296083311832683,0.00010672552443269323,0.002735130991553959,-0.00014181283885964787,0.01643881105833365,0.010871355898441203
1.253445736123143e-05,0.028009781922052758,0.00016715351699794827,0.003970480695579344,-0.00020530269631808976,0.023863305639200656,0.01578188423207084
1.7397632500782367e-05,0.03876902733244345,0.00024176702278345795,0.005495829600540717,-0.00028369684190684193,0.03303070547903128,0.02184516250224546
2.3233252535949755e-05,0.05167970117791726,0.00033130031261192265,0.007326188650952208,-0.0003777667516900612,0.04403122687515066,0.02912085937453481
3.0076195573898884e-05,0.06681896747245124,0.00043628850557243305,0.009472497465693471,-0.00048807465905077724,0.056930617316568656,0.03765245995141037
3.794899255526453e-05,0.08423667346864483,0.0005570772837391824,0.011941822939260143,-0.0006149837616509474,0.07177134908438546,0.047468055214347674
4.6862460442178085e-05,0.10395675051727751,0.0006938326068901786,0.01473755784301428,-0.0007586684283915107,0.08857381285219705,0.05858113146592859
