time,cubic_position,quintic_position,cubic_velocity,quintic_velocity,cubic_acceleration,quintic_acceleration
0.0,0.0,0.0,0.002814837846495939,2.3466664083241633e-05,0.2798402255639098,0.006987172798013461
0.010025062656641603,2.8218925779407907e-05,2.3525477777685845e-07,0.005620253641622854,9.35135091761084e-05,0.4190554511278194,0.013926028802998505
0.020050125313283207,0.00011268678980697451,1.8749575774658328e-06,0.011216952154823144,0.000302685286699753,0.556860902255639,0.027702956299675636
0.03007518796992481,0.0002531202221167141,6.304132706593961e-06,0.016785384513916368,0.0006489612545330135,0.554041353383459,0.041274429501873856
0.040100250626566414,0.00044923585274264107,1.4886712054318233e-05,0.02232555071890252,0.0011302427704465972,0.5512218045112779,0.05463709446038636
0.05012531328320802,0.0007007503117187696,2.8965641888480622e-05,0.02783745076978159,0.0017444418452174518,0.5484022556390977,0.06779201381258569
0.06015037593984962,0.001007380229079114,4.986298965266313e-05,0.033321084666553605,0.0024894811426287664,0.5455827067669177,0.08074025019584401
0.07017543859649122,0.001368842234857689,7.888005076324284e-05,0.03877645240921854,0.0033632939794699633,0.5427631578947354,0.09348286624753402
0.08020050125313283,0.0017848529590885082,0.00011729745540644686,0.04420355399777637,0.004363824325536717,0.5399436090225553,0.10602092460502846
0.09022556390977443,0.002255129031805586,0.0001663752753354076,0.04960238943222717,0.0054890268036309345,0.5371240601503762,0.11835548790569883
0.10025062656641603,0.002779387083042938,0.00022735313066721746,0.05497295871257088,0.006736866689560753,0.5343045112781972,0.13048761878691845
0.11027568922305764,0.0033573437428345764,0.0003014502966799841,0.06031526183880756,0.008105319912140578,0.5314849624060178,0.1424183798860601
0.12030075187969924,0.0039887156412145176,0.00038986581060988573,0.06562929881093715,0.009592373053191031,0.5286654135338362,0.15414883384049494
0.13032581453634084,0.004673219408216775,0.0004937785784482254,0.07091506962895966,0.011196023347538973,0.5258458646616515,0.1656800432875959
0.14035087719298245,0.005410571673875363,0.0006143474817384867,0.07617257429287502,0.012914278683017515,0.5230263157894681,0.1770130708647354
0.15037593984962405,0.006200489068224294,0.0007527114843733886,0.08140181280268333,0.014745157600465998,0.5202067669172901,0.18814897920928741
0.16040100250626566,0.007042688221297585,0.0009099897393919403,0.0866027851583846,0.016686689293730045,0.517387218045112,0.19908883095862306
0.17042606516290726,0.007936885763129248,0.0010872816957764972,0.09177549135997881,0.018736913609661447,0.5145676691729362,0.2098336887501121
0.18045112781954886,0.008882798323753301,0.001285667205249814,0.09691993140746602,0.020893881048118255,0.5117481203007621,0.22038461522113229
0.19047619047619047,0.009880142533203755,0.0015062066290721014,0.10203610530084622,0.02315565276196485,0.5089285714285774,0.2307426730090545
0.20050125313283207,0.010928635021514628,0.0017499409448380816,0.1071240130401192,0.02552030055707173,0.5061090225563794,0.24090892475124703
0.21052631578947367,0.01202799241871993,0.002017891853274041,0.1121836546252849,0.02798590689231567,0.503289473684208,0.25088443308508723
0.22055137844611528,0.013177931354853675,0.002311061885034887,0.11721503005634393,0.030550564879579745,0.5004699248120392,0.26067026064794563
0.23057644110275688,0.014378168459949882,0.0026304345075012035,0.12221813933329573,0.033212378283753174,0.4976503759398385,0.27026747007719254
0.24060150375939848,0.01562842036404256,0.002976974231576304,0.1271929824561402,0.03596946152273148,0.49483082706766,0.2796771240102074
0.2506265664160401,0.016928403697165726,0.0033516267184832884,0.13213955942487787,0.03881993966741648,0.4920112781954913,0.28890028508435694
0.2606516290726817,0.018277835089353395,0.003755318886562098,0.13705787023950844,0.041761948441716074,0.4891917293233172,0.29793801593700886
0.2706766917293233,0.01967643117063958,0.004188959018066568,0.1419479149000321,0.04479363422254448,0.48637218045114405,0.3067913792055421
0.2807017543859649,0.0211239085710583,0.004653436865961486,0.14680969340644867,0.04791315403982219,0.48355263157894335,0.3154614375273379
0.2907268170426065,0.02261998392064356,0.005149623760719644,0.15164320575875778,0.051118675576476064,0.4807330827067524,0.32394925353975523
0.3007518796992481,0.024164373849429384,0.005678372717118901,0.15644845195696,0.054408377168438826,0.47791353383457835,0.33225588988015975
0.3107769423558897,0.025756794987449778,0.00624051854103922,0.1612254320010551,0.05778044780464969,0.47509398496240607,0.3403824091859482
0.3208020050125313,0.02739696396473876,0.006836877936259747,0.1659741458910433,0.06123308712705433,0.4722744360902311,0.34832987409447513
0.3308270676691729,0.029084597411330345,0.007468249611255848,0.1706945936269244,0.06476450543060408,0.46945488721805795,0.35609934724311243
0.3408521303258145,0.030819411957258545,0.00813541438599617,0.1753867752086986,0.06837292366325709,0.4666353383458741,0.3636918912692484
0.3508771929824561,0.032601124232557385,0.0088391352987397,0.18005069063636547,0.07205657342597749,0.4638157894736761,0.37110856881023535
0.3609022556390977,0.03442945086726086,0.00958015771283281,0.18468633990992522,0.07581369697273549,0.4609962406014816,0.37835044250344874
0.37092731829573933,0.036304108491403,0.010359209423506325,0.18929372302937764,0.07964254721050779,0.4581766917293084,0.3854185749862795
0.38095238095238093,0.03822481373501781,0.011177000764672566,0.19387283999472338,0.08354138769927744,0.4553571428571779,0.3923140288960911
0.39097744360902253,0.040191283228139314,0.012034224715722415,0.19842369080596267,0.08750849265203342,0.4525375939849834,0.399037866870243
0.40100250626566414,0.04220323360080152,0.012931557008322358,0.20294627546309396,0.09154214693477103,0.44971804511275515,0.4055911515461066
0.41102756892230574,0.04426038148303844,0.013869656233211559,0.20744059396611814,0.0956406460664917,0.44689849624059086,0.41197494556107195
0.42105263157894735,0.04636244350488409,0.014849163946998884,0.21190664631503564,0.09980229621920356,0.44407894736842835,0.4181903115525305
0.43107769423558895,0.04850913629637249,0.01587070477896,0.21634443250984603,0.10402541421792089,0.4412593984962445,0.42423831215782837
0.44110275689223055,0.05070017648753764,0.01693488653783439,0.2207539525505493,0.10830832754066377,0.4384398496240589,0.43012001001430544
0.45112781954887216,0.05293528070841358,0.01804230031862243,0.22513520643714546,0.11264937431845834,0.4356203007518733,0.43583646775935314
0.46115288220551376,0.055214165589034296,0.01919352060938243,0.2294881941696345,0.11704690333533752,0.43280075187971256,0.4413887480303833
0.47117794486215536,0.057536547759433815,0.020389105398027695,0.23381291574801688,0.12149927402834071,0.42998120300750564,0.4467779134647589
0.48120300751879697,0.05990214384964616,0.021629596279123597,0.23810937117229125,0.12600485648751314,0.42716165413532003,0.4520050266998492
0.49122807017543857,0.06231067048970532,0.022915518560684602,0.2423775604424594,0.1305620314559066,0.424342105263225,0.45707115037297275
0.5012531328320802,0.06476184430964535,0.024247381370971346,0.2466174835585213,0.13516919032957775,0.4215225563909506,0.46197734712154137
0.5112781954887218,0.06725538193950023,0.025625677765287663,0.25082914052047345,0.13982473515759164,0.41870300751869927,0.46672467958297226
0.5213032581453634,0.06979100000930397,0.027050884832777695,0.2550125313283198,0.1445270786420183,0.41588345864664866,0.4713142103945307
0.531328320802005,0.0723684151490906,0.028523463803222866,0.2591676559820604,0.14927464413793312,0.41306390977446306,0.4757470021936685
0.5413533834586466,0.07498734398889415,0.03004386015383901,0.2632945144816925,0.15406586565342018,0.41024436090230054,0.4800241176178135
0.5513784461152882,0.0776475031587486,0.031612503716073395,0.2673931068272193,0.15889918784956847,0.4074248120301167,0.48414661930423897
0.5614035087719298,0.08034860928868802,0.03322980878240179,0.2714634330186372,0.1637730660404726,0.4046052631577979,0.48811556989028837
0.5714285714285714,0.08309037900874634,0.03489617421312548,0.27550549305594707,0.1686859661932334,0.4017857142857242,0.49193203201341085
0.581453634085213,0.08587252894895764,0.03661198354316837,0.27951928693915296,0.17363636492795953,0.3989661654136505,0.4955970683110369
0.5914786967418546,0.08869477573935593,0.03837760508887404,0.28350481466825084,0.17862274951776547,0.39614661654133165,0.49911174142037495
0.6015037593984962,0.09155683600997519,0.04019339205480277,0.28746207624323983,0.18364361788876904,0.3933270676691034,0.5024771139788857
0.6115288220551378,0.09445842639084945,0.04205968264052856,0.2913910716641226,0.188697478620099,0.390507518796964,0.5056942486240548
0.6215538847117794,0.09739926351201274,0.04397680014743633,0.29529180093089824,0.19378285094388792,0.3876879699247784,0.5087642079930106
0.631578947368421,0.10037906400349904,0.04594505308551879,0.2991642640435668,0.19889826474527217,0.38486842105263896,0.5116880547232192
0.6416040100250626,0.1033975444953424,0.047964735280173615,0.3030084610021291,0.2040422605623986,0.38204887218049777,0.5144668514522088
0.6516290726817042,0.10645442161757682,0.050036125979000465,0.3068243918065843,0.20921338958641922,0.37922932330826775,0.5171016608172199
0.6616541353383458,0.10954941200023632,0.05215948995859806,0.31061205645693146,0.2144102136614907,0.3764097744360395,0.5195935454555798
0.6716791979949874,0.11268223227335489,0.05433507763136118,0.31437145495317154,0.2196313052847767,0.3735902255639889,0.5219435680047315
