real_x,real_y,real_z,ideal_x,ideal_y,ideal_z,error
1.4818874198752684e-13,2.409022037842129e-12,1.281,0.75,0.0,0.5,1.0828023827087645
0.007492208453849613,-4.9141020050358884e-09,1.2808670379946914,0.7499691581204151,0.003926829327955169,0.5,1.0775160192962028
0.02106207881415307,1.52906550046028e-05,1.2799458188827038,0.749876640091433,0.007852689769532073,0.5,1.0674959343937969
0.0404810826420014,8.90041387951768e-05,1.2770661999197377,0.7497224687404925,0.011776612677410665,0.5,1.0521367891134512
0.06297119907621189,0.0002775972111794465,1.2715699709546815,0.749506682107068,0.015697629882328343,0.5,1.0329031740424648
0.08564619263904413,0.0006225333988226368,1.2640837339067266,0.749229333433282,0.019614773931961236,0.5,1.012189331285239
0.10837401930922336,0.001154652692449582,1.2549455177976574,0.74889049115077,0.023527078329628578,0.5,0.9903053119982781
0.13111494653461991,0.0018930244831709185,1.244457687863629,0.748490238863795,0.027433577772761317,0.5,0.9674822067925246
0.1538842748672453,0.002847230396752334,1.232867138570505,0.7480286753286195,0.031333308391076065,0.5,0.943882020188765
0.17672791726421344,0.004020265014334065,1.2203605687999834,0.7475059144291394,0.035225307984395667,0.5,0.9196089526729301
0.1997063763759513,0.005411249824476823,1.2070670342565895,0.7469220851487844,0.03910861626005772,0.5,0.8947202553674847
0.22288413538540858,0.007017125987973209,1.1930636323351866,0.7462773315386935,0.04298227506985238,0.5,0.8692359450653635
0.24632249310768795,0.008834316923232388,1.1783822000554545,0.7455718126821722,0.04684532864643115,0.5,0.8431471576539207
0.2700746184498217,0.010859415346692934,1.1630160069989677,0.7448057026554414,0.05069682383912812,0.5,0.8164232033469476
0.29418210646941945,0.013089792926866593,1.1469259404757337,0.7439791904846869,0.054535810349135634,0.5,0.7890173392322992
0.31867247526431336,0.015523945113491661,1.1300460485083101,0.7430924800994192,0.05836134096397634,0.5,0.760871478127823
0.3435572917129376,0.018161282627959085,1.1122884251055913,0.7421457902821578,0.0621724717912137,0.5,0.7319200034713591
0.36883068183706263,0.021001836742747484,1.0935475068502687,0.7411393546144496,0.06596826249134323,0.5,0.7020928500975018
0.3944681032460604,0.02404568082633177,1.0737038980127798,0.7400734214192357,0.06974777650980732,0.5,0.6713180171085097
0.4204252343819512,0.027292969192248617,1.0526278204105788,0.7389482536995825,0.07351008130807599,0.5,0.6395236064284836
0.4466369961100735,0.030743529591458346,1.030182300880883,0.7377641290737884,0.07725424859373685,0.5,0.6066395360484912
0.47301663798383914,0.034396683732365166,1.0062261969478714,0.7365213397068864,0.08097935454953735,0.5,0.5725990180981088
0.49945491218930743,0.03825091630726213,0.9806171470707153,0.7352201922385564,0.08468448006132284,0.5,0.5373399158614562
0.5258193681206171,0.0423032020329233,0.9532145198533581,0.7338610077074669,0.08836871094481427,0.5,0.5008061061121422
0.5519538034514898,0.0465479773002231,0.9238824238859245,0.7324441214720628,0.09203113817116948,0.5,0.46294900594059657
0.5776778987089692,0.0509759560782026,0.8924928279418173,0.7309698831278217,0.09567085809127245,0.5,0.4237294971308849
0.6027870571358858,0.05557307012251476,0.8589288298729545,0.7294386564209953,0.09928697265869516,0.5,0.3831206569612071
0.6253458695456768,0.060206851948020196,0.8254047155246537,0.7278508191588613,0.10287858965127719,0.5,0.34382607635183493
0.6454114199252745,0.06485629350186803,0.7921961105888649,0.7262067631165049,0.10644482289126816,0.5,0.30600009853171917
0.6631338289924904,0.06950347533266767,0.7594598862531338,0.7245068939401539,0.10998479246397878,0.5,0.2696754024976045
0.6786639135205248,0.07413201597717665,0.7273347896610157,0.722751631047092,0.11349762493488669,0.5,0.23489249582635027
0.6921518811720822,0.07872738153282412,0.6959428009217191,0.7209414075221734,0.11698245356514334,0.5,0.20170738359492194
0.7037462189928648,0.08327695747737753,0.6653904468106087,0.7190766700109659,0.12043841852542883,0.5,0.17020574846889572
0.713592742598039,0.08777004931064368,0.6357700695724671,0.7171578786095478,0.1238646671081019,0.5,0.14053128982699084
0.7218337879653542,0.09219784306808661,0.6071610485559917,0.7151855067509859,0.12726035393759283,0.5,0.11294719845662035
0.7286075813986671,0.0965529798168903,0.5796309628892932,0.713160041088523,0.1306246411789872,0.5,0.08798065048795058
0.7340475313028992,0.10083048822252194,0.5532367374478078,0.7110819813755038,0.13395669874474916,0.5,0.06677508907607257
0.7382819196821673,0.10502653732773788,0.5280256816822565,0.7089518403420676,0.13725570449953295,0.5,0.05181130768895167
0.7414333928267582,0.1091392456450472,0.5040365272151096,0.7067701435686404,0.14052084446303265,0.5,0.04693228255115779
0.7436187665598761,0.11316784450486858,0.4813003654209266,0.7045374293562559,0.14375131301081964,0.5,0.053031837577708484
0.744948761936012,0.11711279217707277,0.4598415548956381,0.7022542485937369,0.14694631307311828,0.5,0.06576899840949793
0.7455278350906726,0.12097563470160591,0.4396785664102507,0.6999211646217727,0.15010505633147098,0.5,0.0810380586272389
0.7454540580715312,0.12475885935564575,0.4208247719323721,0.6975387530939225,0.15322676341324412,0.5,0.0968246598346246
0.7448190421698633,0.12846574543881187,0.40328917831783506,0.6951076018345824,0.15631066408392627,0.5,0.112247716346484
0.7437078962471085,0.132100214366176,0.3870771064310473,0.6926283106939473,0.1593559974371724,0.5,0.1268998883493636
0.7421992131521311,0.13566668081178276,0.3721908166192093,0.6901014914000078,0.16236201208254591,0.5,0.14057738324453917
0.7403651340368759,0.13916961072573336,0.35863006798848696,0.6875277674076149,0.16532796633091296,0.5,0.15317148741597372
0.7382712034717535,0.1426142827785485,0.3463926792802144,0.6849077737446524,0.16825312837744333,0.5,0.16462142939056962
0.735976568435814,0.14600575786741987,0.33547496285147954,0.6822421568553529,0.17113677648217215,0.5,0.17489266117603522
0.733533968218079,0.14934903037430508,0.3258721574755751,0.6795315744407973,0.17397819914807858,0.5,0.18396564904996407
0.73098981200621,0.15264872285364747,0.3175787902904953,0.6767766952966369,0.17677669529663687,0.5,0.1918299216218746
0.7283840457102939,0.15590979567018956,0.31058904244486363,0.6739781991480785,0.1795315744407972,0.5,0.1984804660776282
